bank,Date,TimestampNYC,ts_local,local_hour,Title,Impact,Currency,EventId
FED,2021-10-19,2021-10-19 15:00:00-04:00,2021-10-19 15:00:00-04:00,15,FOMC Member Waller Speaks,medium,USD,123717
FED,2021-10-20,2021-10-20 12:00:00-04:00,2021-10-20 12:00:00-04:00,12,FOMC Member Evans Speaks,low,USD,123416
FED,2021-10-20,2021-10-20 13:00:00-04:00,2021-10-20 13:00:00-04:00,13,FOMC Member Quarles Speaks,low,USD,123718
FED,2021-10-21,2021-10-21 09:00:00-04:00,2021-10-21 09:00:00-04:00,9,FOMC Member Waller Speaks,medium,USD,123719
FED,2021-10-22,2021-10-22 10:00:00-04:00,2021-10-22 10:00:00-04:00,10,FOMC Member Daly Speaks,low,USD,123647
FED,2021-10-22,2021-10-22 11:00:00-04:00,2021-10-22 11:00:00-04:00,11,FOMC Member Powell Speaks,high,USD,123948
FED,2021-11-08,2021-11-08 09:00:00-05:00,2021-11-08 09:00:00-05:00,9,FOMC Member Clarida Speaks,medium,USD,125096
FED,2021-11-08,2021-11-08 10:30:00-05:00,2021-11-08 10:30:00-05:00,10,FOMC Member Powell Speaks,high,USD,125039
FED,2021-11-08,2021-11-08 10:55:00-05:00,2021-11-08 10:55:00-05:00,10,FOMC Member Williams Speaks,low,USD,125099
FED,2021-11-08,2021-11-08 12:00:00-05:00,2021-11-08 12:00:00-05:00,12,FOMC Member Bowman Speaks,medium,USD,125097
FED,2021-11-08,2021-11-08 13:50:00-05:00,2021-11-08 13:50:00-05:00,13,FOMC Member Evans Speaks,medium,USD,125040
FED,2021-11-09,2021-11-09 09:00:00-05:00,2021-11-09 09:00:00-05:00,9,FOMC Member Powell Speaks,high,USD,125042
FED,2021-11-09,2021-11-09 11:35:00-05:00,2021-11-09 11:35:00-05:00,11,FOMC Member Daly Speaks,low,USD,125044
FED,2021-11-12,2021-11-12 12:10:00-05:00,2021-11-12 12:10:00-05:00,12,FOMC Member Williams Speaks,medium,USD,125046
FED,2021-11-16,2021-11-16 13:30:00-05:00,2021-11-16 13:30:00-05:00,13,FOMC Member Barkin Speaks,low,USD,125181
FED,2021-11-16,2021-11-16 13:30:00-05:00,2021-11-16 13:30:00-05:00,13,FOMC Member Bostic Speaks,low,USD,125182
FED,2021-11-16,2021-11-16 15:30:00-05:00,2021-11-16 15:30:00-05:00,15,FOMC Member Daly Speaks,low,USD,125184
FED,2021-11-17,2021-11-17 09:10:00-05:00,2021-11-17 09:10:00-05:00,9,FOMC Member Williams Speaks,medium,USD,126007
FED,2021-11-17,2021-11-17 11:00:00-05:00,2021-11-17 11:00:00-05:00,11,FOMC Member Bowman Speaks,low,USD,126008
FED,2021-11-17,2021-11-17 12:40:00-05:00,2021-11-17 12:40:00-05:00,12,FOMC Member Daly Speaks,low,USD,125185
FED,2021-11-17,2021-11-17 12:40:00-05:00,2021-11-17 12:40:00-05:00,12,FOMC Member Waller Speaks,low,USD,126009
