,engine_per_unit,panel_per_unit,diff
2023-02-13,-366.5290282258588,-415.4484524194336,48.9194241935748
2023-02-14,-346.38852822581794,-395.6215975806827,49.23306935486477
2023-02-15,-346.38852822581794,-395.6215975806827,49.23306935486477
2023-02-16,-346.38852822581794,-395.6215975806827,49.23306935486477
2023-02-17,-336.6655282257991,-386.2122427419548,49.5467145161557
2023-02-21,-326.94252822580796,-376.8028879032537,49.86035967744573
2023-02-22,-348.46952822596603,-398.6435330647018,50.174004838735755
2023-02-23,-326.94252822580796,-376.8028879032537,49.86035967744573
2023-02-24,-378.333028225998,-427.8797427421538,49.54671451615576
2023-02-27,-367.91552822594826,-417.462242742104,49.54671451615576
2023-02-28,-367.91552822594826,-417.462242742104,49.54671451615576
2023-03-01,-378.333028225998,-427.8797427421538,49.54671451615576
2023-03-02,-432.9508427419326,-496.32034758071853,63.36950483878593
2023-03-03,-450.3108427419168,-513.6803475807028,63.369504838785986
2023-03-06,-481.5508427419673,-544.9203475807533,63.369504838785986
2023-03-07,-488.38584274194926,-550.1871217742842,61.80127903233489
2023-03-08,-455.71184274198674,-516.8858314517408,61.1739887097541
2023-03-09,-538.3848427419429,-600.0292991936332,61.6444564516903
2023-03-10,-832.9528427420149,-896.6359927420916,63.683150000076694
2023-03-13,-950.6308427418851,-1017.9209120967993,67.29006935491418
2023-03-14,-1152.6228427419928,-1217.8742185485207,65.2513758065279
2023-03-15,-1103.3808427418921,-1169.8867991935806,66.50595645168846
2023-03-16,-901.2088427418665,-966.6170411290391,65.40819838717255
2023-03-17,-1256.8728427419298,-1322.9083314516838,66.03548870975396
2023-03-20,-1190.1458427418918,-1255.8676862903558,65.721843548464
2023-03-21,-935.9138427418152,-1001.3220411289881,65.40819838717289
2023-03-22,-977.5688427418756,-1042.1929282258238,64.62408548394819
2023-03-23,-949.8288427419603,-1014.4529282259083,64.62408548394797
2023-03-24,-901.233842741866,-965.8579282258144,64.6240854839483
2023-03-27,-867.8428427419044,-932.3101056452067,64.4672629033023
2023-03-28,-812.2978427418763,-876.7651056451783,64.46726290330207
2023-03-29,-781.0478427419047,-845.5151056452067,64.46726290330207
2023-03-30,-735.8978427418471,-800.3651056451491,64.46726290330207
2023-03-31,-794.9228427419315,-859.3901056452336,64.46726290330207
2023-04-03,-838.6588427419628,-897.5701056452383,58.91126290327554
2023-04-04,-932.4313427419166,-991.3426056451925,58.91126290327588
2023-04-05,-970.633842741981,-1029.5451056452564,58.91126290327543
2023-04-06,-817.8438427419816,-876.7551056452571,58.91126290327554
2023-04-07,-720.583842741991,-779.4951056452666,58.91126290327554
2023-04-10,-751.8263427418641,-810.7376056451394,58.911262903275315
2023-04-11,-790.0213427418882,-848.9326056451639,58.911262903275656
2023-04-12,-803.9113427418757,-862.8226056451513,58.91126290327554
2023-04-13,-769.191342741947,-828.1026056452223,58.911262903275315
2023-04-14,-703.1988427419082,-762.1101056451836,58.91126290327543
2023-04-17,-717.0788427419744,-775.9901056452499,58.91126290327543
2023-04-18,-762.2188427419334,-821.1301056452088,58.91126290327543
2023-04-19,-730.9638427419225,-789.8751056451978,58.911262903275315
2023-04-20,-696.2438427419934,-755.1551056452688,58.91126290327543
2023-04-21,-678.8788427419697,-737.7901056452451,58.91126290327543
2023-04-24,-675.4038427419138,-734.3151056451891,58.911262903275315
2023-04-25,-706.6788427420433,-765.5901056453185,58.9112629032752
2023-04-26,-727.5163427418465,-786.427605645122,58.91126290327543
2023-04-27,-651.1038427420345,-710.0151056453099,58.911262903275315
2023-04-28,-633.7438427418726,-692.6551056451481,58.91126290327543
2023-05-01,-637.2063427419089,-696.1176056451844,58.91126290327554
2023-05-02,-776.1163427418813,-835.0276056451568,58.91126290327543
2023-05-03,-671.9313427419563,-730.8426056452317,58.91126290327543
2023-05-04,-744.8613427420282,-803.7726056453035,58.911262903275315
2023-05-05,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-08,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-09,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-10,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-11,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-12,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-15,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-16,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-17,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-18,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-19,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-22,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-23,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-24,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-25,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-26,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-30,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-05-31,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-06-01,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-06-02,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-06-05,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-06-06,-798.5643266129446,-795.5891782258974,-2.97514838704717
2023-06-07,-798.5643266129446,-856.0081782258974,57.44385161295281
2023-06-08,-798.5643266129446,-856.0081782258974,57.44385161295281
2023-06-09,-707.5773266129919,-765.0211782259446,57.4438516129527
2023-06-12,-781.8813266129439,-839.3251782258967,57.44385161295281
2023-06-13,-655.5323266130353,-712.976178225988,57.4438516129527
2023-06-14,-591.6583266130914,-649.1021782260441,57.4438516129527
2023-06-15,-620.1278266129686,-677.5716782259215,57.44385161295281
2023-06-16,-780.5423266130512,-777.5671782260039,-2.975148387047284
2023-06-20,-780.5423266130512,-837.9861782260039,57.4438516129527
2023-06-21,-958.6703266131625,-955.6951782261152,-2.975148387047284
2023-06-22,-958.6703266131625,-955.6951782261152,-2.975148387047284
2023-06-23,-958.6703266131625,-955.6951782261152,-2.975148387047284
2023-06-26,-958.6703266131625,-955.6951782261152,-2.975148387047284
2023-06-27,-958.6703266131625,-1000.4891782261152,41.8188516129527
2023-06-28,-927.4203266130725,-969.2391782260252,41.8188516129527
2023-06-29,-896.8498266130846,-938.6686782260372,41.818851612952585
2023-06-30,-916.2983266131043,-958.117178226057,41.8188516129527
2023-07-03,-920.4603266130629,-965.7516782260126,45.29135161294971
2023-07-05,-834.3473266130823,-879.6386782260317,45.291351612949484
2023-07-06,-839.2038266130775,-884.4951782260273,45.291351612949825
2023-07-07,-794.7558266130804,-840.0471782260302,45.29135161294971
2023-07-10,-826.0058266132298,-871.2971782261793,45.291351612949484
2023-07-11,-857.2558266132015,-902.5471782261509,45.29135161294937
2023-07-12,-907.2598266131936,-952.551178226143,45.29135161294937
2023-07-13,-865.5923266132314,-910.8836782261809,45.291351612949484
2023-07-14,-849.6138266131865,-894.9051782261362,45.29135161294971
2023-07-17,-867.6658266130732,-912.9571782260231,45.291351612949825
2023-07-18,-854.4703266130853,-899.7616782260351,45.291351612949825
2023-07-19,-854.4703266130853,-899.7616782260351,45.291351612949825
2023-07-20,-896.1378266131067,-941.4291782260564,45.29135161294971
